"language" "repetition" "vot" "consonant"
"spanish" 2 1.08 "t"
"spanish" 3 -11.53 "t"
"english" 1 22.91 "d"
"english" 2 21.23 "d"
"english" 3 25.32 "d"
"english" 1 14.07 "d"
"english" 2 25.21 "d"
"english" 3 3.24 "d"
"english" 1 23.15 "d"
"english" 2 28.27 "d"
"english" 3 13.27 "d"
"english" 1 55.38 "t"
"english" 2 41.38 "t"
"english" 3 65.45 "t"
"english" 1 47.53 "t"
"english" 2 46.57 "t"
"english" 3 49.03 "t"
"english" 1 53.17 "t"
"english" 2 39.08 "t"
"english" 3 16.08 "t"
"spanish" 1 -68.42 "d"
"spanish" 2 -57.72 "d"
"spanish" 3 -71.11 "d"
"spanish" 1 -68.51 "d"
"spanish" 2 -54.86 "d"
"spanish" 3 -74.31 "d"
"spanish" 1 -45.04 "d"
"spanish" 2 -38.19 "d"
"spanish" 3 -64.88 "d"
"spanish" 1 20.53 "t"
"spanish" 2 12.65 "t"
"spanish" 3 5.82 "t"
"spanish" 1 12.81 "t"
"spanish" 2 11 "t"
"spanish" 3 19.48 "t"
"spanish" 1 -0.41 "t"
"spanish" 2 15.22 "t"
"spanish" 3 1.39 "t"
"english" 1 16.31 "d"
"english" 2 23.07 "d"
"english" 3 13.11 "d"
"english" 1 23.51 "d"
"english" 2 13.78 "d"
"english" 3 24.18 "d"
"english" 1 19.65 "d"
"english" 2 10.34 "d"
"english" 3 7.25 "d"
"english" 1 21.71 "t"
"english" 2 57.13 "t"
"english" 3 50.28 "t"
"english" 1 51.73 "t"
"english" 2 53.42 "t"
"english" 3 77.16 "t"
"english" 1 54.51 "t"
"english" 2 40.54 "t"
"english" 3 49.75 "t"
"spanish" 1 -53.85 "d"
"spanish" 2 -58.55 "d"
"spanish" 3 -46.89 "d"
"spanish" 1 -65.05 "d"
"spanish" 2 -66.94 "d"
"spanish" 3 -53.28 "d"
"spanish" 1 -57.54 "d"
"spanish" 2 -68.72 "d"
